Set,Clock,antennaSTR,clientRSSI,bssidRSSI
36,4252.167937994003,14,-29,-35
37,4256.190018892288,2,-29,-36
37,4309.171270847321,10,-30,-2
37,4373.216994047165,14,-34,-2
38,4435.16783285141,2,-29,-2
38,4440.178174972534,10,-30,-39
38,4498.152657985687,14,-30,-2
39,4504.537026882172,2,-30,-37
39,4508.195289850235,10,-29,-38
39,4561.1608600616455,14,-29,-2
40,4624.152344942093,2,-30,-2
40,4688.178011894226,10,-30,-2
40,4696.239707946777,14,-30,-39
41,4754.582093954086,2,-30,-2
41,4772.231734037399,10,-29,-36
41,4813.198978900909,14,-29,-2
42,4876.172169923782,2,-29,-2
42,4939.207217931747,10,-30,-2
42,5004.216861009598,14,-33,-2
43,5065.281317949295,2,-30,-2
43,5070.28172492981,10,-29,-39
43,5073.238021850586,14,-29,-38
44,5081.288902997971,2,-30,-40
44,5128.504235029221,10,-30,-2
44,5191.168293952942,14,-29,-2
45,5209.376572847366,2,-30,-38
45,5217.193274974823,10,-30,-35
45,5254.155350923538,14,0,-2
46,5259.271091938019,2,-29,-36
46,5318.180265903473,10,-30,-2
46,5380.167252063751,14,-29,-2
47,5385.174736022949,2,-30,-37
47,5386.2200520038605,10,-35,-38
47,5443.199228048325,14,-30,-2
48,5447.219029903412,2,-30,-37
48,5448.170959949493,10,-30,-37
48,5506.641865968704,14,-29,-2
49,5513.187021970749,2,-30,-37
49,5570.164145946503,10,-30,-2
49,5633.266891002655,14,-30,-2
50,5695.195144891739,2,-30,-2
50,5758.176956892014,10,-30,-2
50,5821.1691789627075,14,-30,-2
51,5822.24241900444,2,0,-39
51,5884.193296909332,10,-29,-2
51,5885.261600017548,14,-30,-53
52,5949.266749858856,2,-30,-2
52,6011.263167858124,10,-29,-2
52,6074.19429397583,14,-30,-2
53,6137.17227101326,2,-29,-2
53,6145.253479957581,10,-29,-35
53,6157.315490961075,14,-30,-35
54,6169.170635938644,2,-29,-37
54,6200.166012048721,10,-30,-2
54,6205.189633846283,14,-30,-37
55,6265.205148935318,2,-30,-2
55,6273.248271942139,10,-29,-39
55,6327.187501907349,14,-29,-2
56,6333.320327043533,2,-29,-37
56,6390.54106092453,10,-29,-2
56,6453.34522485733,14,-30,-2
57,6461.2719810009,2,-29,-36
57,6516.168086051941,10,-31,-2
