Set,Time,antennaSTR,clientRSSI,bssidRSSI,bssidArray,clientArray
0,43.132296085357666,27,-42,-1,[-1],[-42]
0,45.16578698158264,28,-42,-1,[-1],[-42]
0,46.195740938186646,29,-41,-1,[-1],[-41]
0,47.97874903678894,30,-41,-1,[-1],[-41]
1,49.261024951934814,0,-42,-1,[-1],[-42]
1,51.04449391365051,1,-42,-1,[-1],[-42]
1,56.084003925323486,2,-42,-38,[-38],[-42]
1,58.119487047195435,3,-40,-1,[-1],[-40]
1,59.149312019348145,4,-41,-1,[-1],[-41]
1,61.1815299987793,5,-40,-1,[-1],[-40]
1,62.21298003196716,6,-40,-1,[-1],[-40]
1,63.99550485610962,7,-40,-1,[-1],[-40]
1,65.02920007705688,8,-41,-1,[-1],[-41]
1,67.0646550655365,9,-41,-1,[-1],[-41]
1,68.09906792640686,10,-42,-1,[-1],[-42]
1,69.13112092018127,11,-42,-1,[-1],[-42]
1,71.16701698303223,12,-41,-1,[-1],[-41]
1,72.19383406639099,13,-41,-1,[-1],[-41]
1,74.229660987854,14,-41,-1,[-1],[-41]
1,75.00911903381348,15,-42,-1,[-1],[-42]
0,1.2636690139770508,0,-42,-1,[-1],[-42]
0,2.2948131561279297,1,-42,-1,[-1],[-42]
0,4.327987194061279,2,-41,-1,[-1],[-41]
0,5.110252141952515,3,-41,-1,[-1],[-41]
0,8.146245002746582,4,-42,-1,[-1],[-42]
0,9.177738189697266,5,-41,-1,[-1],[-41]
0,11.212388038635254,6,-42,-1,[-1],[-42]
0,12.241919040679932,7,-42,-1,[-1],[-42]
0,15.278892993927002,8,-41,-1,[-1],[-41]
0,17.06203603744507,9,-41,-1,[-1],[-41]
0,20.09818410873413,10,-41,-1,[-1],[-41]
0,21.12966299057007,11,-42,-1,[-1],[-42]
0,22.16167902946472,12,-42,-1,[-1],[-42]
0,24.195887088775635,13,-41,-1,[-1],[-41]
0,25.225552082061768,14,-41,-1,[-1],[-41]
0,27.260557174682617,15,-41,-1,[-1],[-41]
0,30.044429063796997,16,-42,-1,[-1],[-42]
0,31.07623314857483,17,-41,-1,[-1],[-41]
0,33.107516050338745,18,-41,-1,[-1],[-41]
0,34.13738298416138,19,-41,-1,[-1],[-41]
